Numero de la Orden de Compra;EAN Entidad a Facturar;Nombre Entidad a Facturar;EAN Lugar Entrega Factura;Nombre Lugar Entrega Factura;F. Documento O/C;F. Minima Entrega;F. Maxima Entrega;F. Solicitada de Entrega;EAN del Item;PLU / SKU;Codigo Item Proveedor;Descripcion del Item;EAN Lugar Entrega Items;Nombre Lugar Entrega Items;Cantidad Total;EAN Punto de Venta;Nombre Punto de Venta;Cantidad Pto Vta;Precio Bruto;Precio Neto;% IVA
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;88;7703670900580;SODIMAC - AV EL DORADO;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900689;SODIMAC - BOGOTA CALLE 80;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900801;SODIMAC - BOGOTA SUR;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900702;SODIMAC - BOGOTA NORTE;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900405;SODIMAC - MEDELLIN INDUSTRIALES;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900306;SODIMAC - CALI SUR;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900603;SODIMAC - PEREIRA;8;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900412;SODIMAC - MEDELLIN SAN JUAN;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900191;SODIMAC - IBAGUE;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900429;SODIMAC - BELLO;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900153;SODIMAC - BOGOTA CALIMA NQS;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900566;SODIMAC - MONTERIA EL RECREO;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900658;SODIMAC - MANIZALES SAN RAFAEL;8;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900115;SODIMAC - BOGOTA CEDRITOS;8;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670901235;SODIMAC - TINTAL;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900450;SODIMAC - RIONEGRO;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900443;SODIMAC - ENVIGADO;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900214;SODIMAC - YOPAL;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666884140;565032;T200500009;;7703670529804;SODIMAC - CEDI FUNZA;;7703670901228;SODIMAC - TUNJA;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666561195;3057531;T2010BOL42;;7703670529804;SODIMAC - CEDI FUNZA;10;7703670900580;SODIMAC - AV EL DORADO;2;330500;330500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666561195;3057531;T2010BOL42;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900689;SODIMAC - BOGOTA CALLE 80;3;330500;330500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666561195;3057531;T2010BOL42;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900603;SODIMAC - PEREIRA;3;330500;330500;;
